Name,Category,Equipment,Primary Muscle,Level,Mechanic
"Leverage Incline Chest Press","strength","machine","chest","beginner","compound"
"Leverage Iso Row","strength","machine","lats","beginner","compound"
"Leverage Shoulder Press","strength","machine","shoulders","beginner","compound"
"Leverage Shrug","strength","machine","traps","beginner","isolation"
"Linear 3-Part Start Technique","plyometrics","","hamstrings","beginner","compound"
"Linear Acceleration Wall Drill","plyometrics","","hamstrings","beginner","compound"
"Linear Depth Jump","plyometrics","other","quadriceps","intermediate","compound"
"Log Lift","strongman","other","shoulders","intermediate","compound"
"London Bridges","strength","other","lats","intermediate","compound"
"Looking At Ceiling","stretching","","quadriceps","beginner","isolation"
"Low Cable Crossover","strength","cable","chest","beginner","isolation"
"Low Cable Triceps Extension","strength","cable","triceps","beginner","isolation"
"Low Pulley Row To Neck","strength","cable","shoulders","beginner","compound"
"Lower Back-SMR","stretching","foam roll","lower back","beginner",""
"Lower Back Curl","stretching","body only","abdominals","beginner",""
"Lunge Pass Through","strength","kettlebells","hamstrings","intermediate","compound"
"Lunge Sprint","strength","machine","quadriceps","intermediate","compound"
"Lying Bent Leg Groin","stretching","other","adductors","expert",""
"Lying Cable Curl","strength","cable","biceps","intermediate","isolation"
"Lying Cambered Barbell Row","strength","barbell","middle back","beginner","isolation"
"Lying Close-Grip Bar Curl On High Pulley","strength","cable","biceps","beginner","isolation"
"Lying Close-Grip Barbell Triceps Extension Behind The Head","strength","barbell","triceps","intermediate","isolation"
"Lying Close-Grip Barbell Triceps Press To Chin","strength","e-z curl bar","triceps","intermediate","isolation"
"Lying Crossover","stretching","body only","abductors","expert",""
"Lying Dumbbell Tricep Extension","strength","dumbbell","triceps","intermediate","isolation"
"Lying Face Down Plate Neck Resistance","strength","other","neck","intermediate","isolation"
"Lying Face Up Plate Neck Resistance","strength","other","neck","intermediate","isolation"
"Lying Glute","stretching","body only","glutes","expert",""
"Lying Hamstring","stretching","other","hamstrings","expert",""
"Lying High Bench Barbell Curl","strength","barbell","biceps","intermediate","isolation"
"Lying Leg Curls","strength","machine","hamstrings","beginner","isolation"
"Lying Machine Squat","strength","machine","quadriceps","intermediate","compound"
"Lying One-Arm Lateral Raise","strength","dumbbell","shoulders","intermediate","isolation"
"Lying Prone Quadriceps","stretching","body only","quadriceps","expert",""
"Lying Rear Delt Raise","strength","dumbbell","shoulders","intermediate","isolation"
"Lying Supine Dumbbell Curl","strength","dumbbell","biceps","beginner","isolation"
"Lying T-Bar Row","strength","machine","middle back","intermediate","compound"
"Lying Triceps Press","strength","e-z curl bar","triceps","intermediate","isolation"
"Machine Bench Press","strength","machine","chest","beginner","compound"
"Machine Bicep Curl","strength","machine","biceps","beginner","isolation"
"Machine Preacher Curls","strength","machine","biceps","beginner","isolation"
"Machine Shoulder (Military) Press","strength","machine","shoulders","beginner","compound"
"Machine Triceps Extension","strength","machine","triceps","beginner","isolation"
"Medicine Ball Chest Pass","plyometrics","medicine ball","chest","beginner","compound"
"Medicine Ball Full Twist","plyometrics","medicine ball","abdominals","beginner","compound"
"Medicine Ball Scoop Throw","plyometrics","medicine ball","shoulders","beginner","compound"
"Middle Back Shrug","strength","dumbbell","middle back","intermediate","isolation"
"Middle Back Stretch","stretching","","middle back","beginner","isolation"
"Mixed Grip Chin","strength","other","middle back","expert","compound"
"Monster Walk","strength","bands","abductors","beginner","compound"
"Mountain Climbers","plyometrics","","quadriceps","beginner","compound"
"Moving Claw Series","plyometrics","","hamstrings","beginner","compound"
"Muscle Snatch","olympic weightlifting","barbell","hamstrings","intermediate","compound"
"Muscle Up","strength","other","lats","intermediate","compound"
"Narrow Stance Hack Squats","strength","machine","quadriceps","intermediate","compound"
"Narrow Stance Leg Press","strength","machine","quadriceps","intermediate","compound"
"Narrow Stance Squats","strength","barbell","quadriceps","intermediate","compound"
"Natural Glute Ham Raise","strength","body only","hamstrings","intermediate","compound"
"Neck-SMR","stretching","other","neck","intermediate",""
"Neck Press","strength","barbell","chest","intermediate","compound"
"Oblique Crunches","strength","body only","abdominals","beginner","isolation"
"Oblique Crunches - On The Floor","strength","body only","abdominals","beginner","isolation"
"Olympic Squat","olympic weightlifting","barbell","quadriceps","intermediate","compound"
"On-Your-Back Quad Stretch","stretching","other","quadriceps","beginner","isolation"
"On Your Side Quad Stretch","stretching","","quadriceps","beginner","isolation"
"One-Arm Dumbbell Row","strength","dumbbell","middle back","beginner","compound"
"One-Arm Flat Bench Dumbbell Flye","strength","dumbbell","chest","beginner","isolation"
"One-Arm High-Pulley Cable Side Bends","strength","cable","abdominals","beginner","isolation"
"One-Arm Incline Lateral Raise","strength","dumbbell","shoulders","beginner","isolation"
"One-Arm Kettlebell Clean","strength","kettlebells","hamstrings","intermediate","compound"
"One-Arm Kettlebell Clean and Jerk","strength","kettlebells","shoulders","intermediate","compound"
"One-Arm Kettlebell Floor Press","strength","kettlebells","chest","intermediate","compound"
"One-Arm Kettlebell Jerk","strength","kettlebells","shoulders","intermediate","compound"
"One-Arm Kettlebell Military Press To The Side","strength","kettlebells","shoulders","intermediate","compound"
"One-Arm Kettlebell Para Press","strength","kettlebells","shoulders","intermediate","compound"
"One-Arm Kettlebell Push Press","strength","kettlebells","shoulders","intermediate","compound"
"One-Arm Kettlebell Row","strength","kettlebells","middle back","intermediate","compound"
"One-Arm Kettlebell Snatch","strength","kettlebells","shoulders","expert","compound"
"One-Arm Kettlebell Split Jerk","strength","kettlebells","shoulders","intermediate","compound"
"One-Arm Kettlebell Split Snatch","strength","kettlebells","shoulders","expert","compound"
"One-Arm Kettlebell Swings","strength","kettlebells","hamstrings","intermediate","compound"
"One-Arm Long Bar Row","strength","barbell","middle back","beginner","compound"
"One-Arm Medicine Ball Slam","strength","medicine ball","abdominals","beginner","compound"
"One-Arm Open Palm Kettlebell Clean","strength","kettlebells","hamstrings","intermediate","compound"
"One-Arm Overhead Kettlebell Squats","strength","kettlebells","quadriceps","expert","compound"
"One-Arm Side Deadlift","strength","barbell","quadriceps","expert","compound"
"One-Arm Side Laterals","strength","dumbbell","shoulders","beginner","isolation"
"One-Legged Cable Kickback","strength","cable","glutes","intermediate","isolation"
"One Arm Against Wall","stretching","","lats","beginner","isolation"
"One Arm Chin-Up","strength","other","middle back","expert","compound"
"One Arm Dumbbell Bench Press","strength","dumbbell","chest","beginner","compound"
"One Arm Dumbbell Preacher Curl","strength","dumbbell","biceps","beginner","isolation"
"One Arm Floor Press","strength","barbell","triceps","intermediate","compound"
"One Arm Lat Pulldown","strength","cable","lats","beginner","compound"
"One Arm Pronated Dumbbell Triceps Extension","strength","dumbbell","triceps","beginner","isolation"
"One Arm Supinated Dumbbell Triceps Extension","strength","dumbbell","triceps","beginner","isolation"
"One Half Locust","stretching","","quadriceps","beginner",""
"One Handed Hang","stretching","other","lats","beginner",""
"One Knee To Chest","stretching","","glutes","beginner","compound"
"One Leg Barbell Squat","strength","barbell","quadriceps","expert","compound"
"Open Palm Kettlebell Clean","strength","kettlebells","hamstrings","expert","compound"
"Otis-Up","strength","other","abdominals","beginner","compound"
"Overhead Cable Curl","strength","cable","biceps","intermediate","isolation"
"Overhead Lat","stretching","other","lats","expert",""
"Overhead Slam","plyometrics","medicine ball","lats","beginner","compound"
"Overhead Squat","olympic weightlifting","barbell","quadriceps","expert","compound"
"Overhead Stretch","stretching","","abdominals","beginner","compound"
"Overhead Triceps","stretching","body only","triceps","expert",""
"Pallof Press","strength","cable","abdominals","beginner","isolation"
"Pallof Press With Rotation","strength","cable","abdominals","beginner","compound"
"Palms-Down Dumbbell Wrist Curl Over A Bench","strength","dumbbell","forearms","beginner","isolation"
"Palms-Down Wrist Curl Over A Bench","strength","barbell","forearms","beginner","isolation"
"Palms-Up Barbell Wrist Curl Over A Bench","strength","barbell","forearms","beginner","isolation"
"Palms-Up Dumbbell Wrist Curl Over A Bench","strength","dumbbell","forearms","beginner","isolation"
"Parallel Bar Dip","strength","other","triceps","beginner","compound"
"Pelvic Tilt Into Bridge","stretching","","lower back","intermediate","compound"
"Peroneals-SMR","stretching","foam roll","calves","intermediate",""
"Peroneals Stretch","stretching","other","calves","intermediate",""
"Physioball Hip Bridge","strength","exercise ball","glutes","beginner","compound"
"Pin Presses","powerlifting","barbell","triceps","intermediate","compound"
"Piriformis-SMR","stretching","foam roll","glutes","intermediate","isolation"
"Plank","strength","body only","abdominals","beginner","isolation"
"Plate Pinch","strength","other","forearms","intermediate","isolation"
"Plate Twist","strength","other","abdominals","intermediate","compound"
"Platform Hamstring Slides","strength","other","hamstrings","beginner","isolation"
"Plie Dumbbell Squat","strength","dumbbell","quadriceps","beginner","compound"
"Plyo Kettlebell Pushups","strength","kettlebells","chest","expert","compound"
"Plyo Push-up","plyometrics","body only","chest","beginner","compound"
"Posterior Tibialis Stretch","stretching","other","calves","intermediate",""
"Power Clean","strength","barbell","hamstrings","intermediate","compound"
"Power Clean from Blocks","olympic weightlifting","barbell","hamstrings","intermediate","compound"
"Power Jerk","olympic weightlifting","barbell","quadriceps","expert","compound"
"Power Partials","strength","dumbbell","shoulders","beginner","isolation"
"Power Snatch","olympic weightlifting","barbell","hamstrings","expert","compound"
"Power Snatch from Blocks","olympic weightlifting","barbell","quadriceps","intermediate","compound"
"Power Stairs","strongman","other","hamstrings","intermediate","compound"
"Preacher Curl","strength","barbell","biceps","beginner","isolation"
"Preacher Hammer Dumbbell Curl","strength","dumbbell","biceps","beginner","isolation"
"Press Sit-Up","strength","barbell","abdominals","expert","compound"
"Prone Manual Hamstring","strength","","hamstrings","beginner","isolation"
"Prowler Sprint","cardio","other","hamstrings","beginner","compound"
"Pull Through","strength","cable","glutes","beginner","compound"
"Pullups","strength","body only","lats","beginner","compound"
"Push-Up Wide","strength","body only","chest","beginner","compound"
"Push-Ups - Close Triceps Position","strength","body only","triceps","intermediate","compound"
"Push-Ups With Feet Elevated","strength","body only","chest","beginner","compound"
"Push-Ups With Feet On An Exercise Ball","strength","exercise ball","chest","intermediate","compound"
"Push Press","olympic weightlifting","barbell","shoulders","expert","compound"
"Push Press - Behind the Neck","olympic weightlifting","barbell","shoulders","intermediate","compound"
"Push Up to Side Plank","strength","body only","chest","beginner","compound"
"Pushups","strength","body only","chest","beginner","compound"
"Pushups (Close and Wide Hand Positions)","strength","body only","chest","beginner","compound"
"Pyramid","stretching","exercise ball","lower back","beginner",""
"Quad Stretch","stretching","other","quadriceps","intermediate",""
"Quadriceps-SMR","stretching","foam roll","quadriceps","intermediate","isolation"
"Quick Leap","plyometrics","other","quadriceps","beginner","compound"
"Rack Delivery","olympic weightlifting","barbell","shoulders","intermediate","compound"
"Rack Pull with Bands","powerlifting","barbell","lower back","intermediate","compound"
"Rack Pulls","powerlifting","barbell","lower back","intermediate","compound"
"Rear Leg Raises","stretching","body only","quadriceps","beginner",""
"Recumbent Bike","cardio","machine","quadriceps","beginner",""
"Return Push from Stance","plyometrics","medicine ball","shoulders","beginner","compound"
"Reverse Band Bench Press","powerlifting","barbell","triceps","intermediate","compound"
"Reverse Band Box Squat","powerlifting","barbell","quadriceps","intermediate","compound"
"Reverse Band Deadlift","powerlifting","barbell","lower back","expert","compound"
"Reverse Band Power Squat","powerlifting","barbell","quadriceps","expert","compound"
"Reverse Band Sumo Deadlift","powerlifting","barbell","hamstrings","expert","compound"
"Reverse Barbell Curl","strength","barbell","biceps","beginner","isolation"
"Reverse Barbell Preacher Curls","strength","e-z curl bar","biceps","intermediate","isolation"
"Reverse Cable Curl","strength","cable","biceps","beginner","isolation"
"Reverse Crunch","strength","body only","abdominals","beginner","isolation"
"Reverse Flyes","strength","dumbbell","shoulders","beginner","isolation"
"Reverse Flyes With External Rotation","strength","dumbbell","shoulders","intermediate","isolation"
"Reverse Grip Bent-Over Rows","strength","barbell","middle back","intermediate","compound"
"Reverse Grip Triceps Pushdown","strength","cable","triceps","beginner","isolation"
"Reverse Hyperextension","strength","machine","hamstrings","intermediate",""
"Reverse Machine Flyes","strength","machine","shoulders","beginner","isolation"
"Reverse Plate Curls","strength","other","biceps","beginner","isolation"
"Reverse Triceps Bench Press","strength","barbell","triceps","intermediate","compound"
"Rhomboids-SMR","stretching","foam roll","middle back","intermediate",""
"Rickshaw Carry","strongman","other","forearms","intermediate","compound"
"Rickshaw Deadlift","strongman","other","quadriceps","intermediate","compound"
"Ring Dips","strength","other","triceps","intermediate","compound"
"Rocket Jump","plyometrics","body only","quadriceps","beginner","compound"
"Rocking Standing Calf Raise","strength","barbell","calves","beginner","isolation"
"Rocky Pull-Ups/Pulldowns","strength","other","lats","intermediate","compound"
"Romanian Deadlift","strength","barbell","hamstrings","intermediate","compound"
"Romanian Deadlift from Deficit","olympic weightlifting","barbell","hamstrings","intermediate","compound"
"Rope Climb","strength","other","lats","intermediate","compound"
"Rope Crunch","strength","cable","abdominals","beginner","isolation"
"Rope Jumping","cardio","other","quadriceps","intermediate",""
"Rope Straight-Arm Pulldown","strength","cable","lats","beginner","isolation"
"Round The World Shoulder Stretch","stretching","other","shoulders","beginner",""
"Rowing, Stationary","cardio","machine","quadriceps","intermediate",""
"Runner's Stretch","stretching","","hamstrings","beginner",""
"Running, Treadmill","cardio","machine","quadriceps","beginner",""
"Russian Twist","strength","body only","abdominals","intermediate","compound"
"Sandbag Load","strongman","other","quadriceps","beginner","compound"
"Scapular Pull-Up","strength","","traps","beginner","isolation"
"Scissor Kick","stretching","body only","abdominals","beginner","isolation"
"Scissors Jump","plyometrics","body only","quadriceps","beginner","compound"
"Seated Band Hamstring Curl","strength","other","hamstrings","beginner","isolation"
"Seated Barbell Military Press","strength","barbell","shoulders","intermediate","compound"
"Seated Barbell Twist","strength","barbell","abdominals","beginner","isolation"
"Seated Bent-Over One-Arm Dumbbell Triceps Extension","strength","dumbbell","triceps","beginner","isolation"
"Seated Bent-Over Rear Delt Raise","strength","dumbbell","shoulders","intermediate","isolation"
"Seated Bent-Over Two-Arm Dumbbell Triceps Extension","strength","dumbbell","triceps","intermediate","isolation"
"Seated Biceps","stretching","body only","biceps","expert","isolation"
"Seated Cable Rows","strength","cable","middle back","beginner","compound"
"Seated Cable Shoulder Press","strength","cable","shoulders","beginner","compound"
"Seated Calf Raise","strength","machine","calves","beginner","isolation"
"Seated Calf Stretch","stretching","","calves","beginner",""
"Seated Close-Grip Concentration Barbell Curl","strength","barbell","biceps","intermediate","isolation"
"Seated Dumbbell Curl","strength","dumbbell","biceps","beginner","isolation"
"Seated Dumbbell Inner Biceps Curl","strength","dumbbell","biceps","beginner","isolation"
"Seated Dumbbell Palms-Down Wrist Curl","strength","dumbbell","forearms","beginner","isolation"
"Seated Dumbbell Palms-Up Wrist Curl","strength","dumbbell","forearms","beginner","isolation"
"Seated Dumbbell Press","strength","dumbbell","shoulders","beginner","compound"
"Seated Flat Bench Leg Pull-In","strength","body only","abdominals","beginner","compound"
"Seated Floor Hamstring Stretch","stretching","","hamstrings","beginner",""
"Seated Front Deltoid","stretching","body only","shoulders","expert",""
"Seated Glute","stretching","body only","glutes","expert",""
"Seated Good Mornings","powerlifting","barbell","lower back","intermediate","compound"
"Seated Hamstring","stretching","","hamstrings","expert",""
"Seated Hamstring and Calf Stretch","stretching","other","hamstrings","intermediate",""
"Seated Head Harness Neck Resistance","strength","other","neck","intermediate","isolation"
"Seated Leg Curl","strength","machine","hamstrings","beginner","isolation"
"Seated Leg Tucks","strength","body only","abdominals","beginner","isolation"
"Seated One-Arm Dumbbell Palms-Down Wrist Curl","strength","dumbbell","forearms","intermediate","isolation"
"Seated One-Arm Dumbbell Palms-Up Wrist Curl","strength","dumbbell","forearms","beginner","isolation"
"Seated One-arm Cable Pulley Rows","strength","cable","middle back","intermediate","compound"
"Seated Overhead Stretch","stretching","","abdominals","beginner","isolation"
"Seated Palm-Up Barbell Wrist Curl","strength","barbell","forearms","beginner","isolation"
"Seated Palms-Down Barbell Wrist Curl","strength","barbell","forearms","beginner","isolation"
"Seated Side Lateral Raise","strength","dumbbell","shoulders","beginner","isolation"
"Seated Triceps Press","strength","dumbbell","triceps","beginner","isolation"
"Seated Two-Arm Palms-Up Low-Pulley Wrist Curl","strength","cable","forearms","beginner","isolation"
"See-Saw Press (Alternating Side Press)","strength","dumbbell","shoulders","intermediate","compound"
"Shotgun Row","strength","cable","lats","beginner","compound"
"Shoulder Circles","stretching","","shoulders","beginner",""
"Shoulder Press - With Bands","strength","bands","shoulders","beginner","compound"
"Shoulder Raise","stretching","","shoulders","beginner",""
"Shoulder Stretch","stretching","","shoulders","beginner",""
"Side-Lying Floor Stretch","stretching","","lats","beginner",""
"Side Bridge","strength","body only","abdominals","beginner",""
"Side Hop-Sprint","plyometrics","other","quadriceps","beginner","compound"
"Side Jackknife","strength","body only","abdominals","beginner","compound"
"Side Lateral Raise","strength","dumbbell","shoulders","beginner","isolation"
"Side Laterals to Front Raise","strength","dumbbell","shoulders","beginner","isolation"
"Side Leg Raises","stretching","body only","adductors","beginner",""
"Side Lying Groin Stretch","stretching","","adductors","beginner","isolation"
"Side Neck Stretch","stretching","","neck","beginner","isolation"
"Side Standing Long Jump","plyometrics","","quadriceps","beginner","compound"
"Side To Side Chins","strength","other","lats","intermediate","compound"
"Side Wrist Pull","stretching","","shoulders","beginner","isolation"
"Side to Side Box Shuffle","plyometrics","other","quadriceps","beginner","compound"
"Single-Arm Cable Crossover","strength","cable","chest","beginner","isolation"
"Single-Arm Linear Jammer","strength","barbell","shoulders","intermediate","compound"
"Single-Arm Push-Up","strength","body only","chest","intermediate","compound"
"Single-Cone Sprint Drill","plyometrics","other","quadriceps","beginner",""
"Single-Leg High Box Squat","strength","other","quadriceps","beginner","compound"
"Single-Leg Hop Progression","plyometrics","other","quadriceps","beginner","compound"
"Single-Leg Lateral Hop","plyometrics","other","quadriceps","beginner","compound"
"Single-Leg Leg Extension","strength","machine","quadriceps","beginner","isolation"
"Single-Leg Stride Jump","plyometrics","other","quadriceps","beginner","compound"
"Single Dumbbell Raise","strength","dumbbell","shoulders","beginner","isolation"
"Single Leg Butt Kick","plyometrics","body only","quadriceps","beginner","compound"
"Single Leg Glute Bridge","strength","body only","glutes","beginner","isolation"
"Single Leg Push-off","plyometrics","other","quadriceps","beginner","compound"
"Sit-Up","strength","body only","abdominals","beginner","isolation"
"Sit Squats","stretching","","quadriceps","beginner",""
"Skating","cardio","other","quadriceps","intermediate",""
"Sled Drag - Harness","strongman","other","quadriceps","beginner","compound"
"Sled Overhead Backward Walk","strength","other","shoulders","beginner","compound"
"Sled Overhead Triceps Extension","strength","other","triceps","beginner","isolation"
"Sled Push","strongman","other","quadriceps","beginner","compound"
"Sled Reverse Flye","strength","other","shoulders","beginner","isolation"
"Sled Row","strength","other","middle back","beginner","compound"
"Sledgehammer Swings","plyometrics","other","abdominals","beginner","compound"
"Smith Incline Shoulder Raise","strength","barbell","shoulders","beginner","isolation"
"Smith Machine Behind the Back Shrug","strength","machine","traps","beginner","isolation"
"Smith Machine Bench Press","strength","machine","chest","beginner","compound"
"Smith Machine Bent Over Row","strength","machine","middle back","beginner","compound"
"Smith Machine Calf Raise","strength","machine","calves","beginner","isolation"
"Smith Machine Close-Grip Bench Press","strength","machine","triceps","beginner","compound"
"Smith Machine Decline Press","strength","machine","chest","beginner","compound"
"Smith Machine Hang Power Clean","strength","machine","hamstrings","intermediate","compound"
"Smith Machine Hip Raise","strength","machine","abdominals","beginner","isolation"
"Smith Machine Incline Bench Press","strength","machine","chest","beginner","compound"
"Smith Machine Leg Press","strength","machine","quadriceps","intermediate","compound"
"Smith Machine One-Arm Upright Row","strength","machine","shoulders","beginner","compound"
"Smith Machine Overhead Shoulder Press","strength","machine","shoulders","beginner","compound"
"Smith Machine Pistol Squat","strength","machine","quadriceps","intermediate","compound"
"Smith Machine Reverse Calf Raises","strength","machine","calves","beginner","isolation"
"Smith Machine Squat","strength","machine","quadriceps","beginner","compound"
"Smith Machine Stiff-Legged Deadlift","strength","machine","hamstrings","beginner","compound"
"Smith Machine Upright Row","strength","machine","traps","beginner","compound"
"Smith Single-Leg Split Squat","strength","machine","quadriceps","beginner","compound"
"Snatch","olympic weightlifting","barbell","quadriceps","intermediate","compound"
"Snatch Balance","olympic weightlifting","barbell","quadriceps","intermediate","compound"
"Snatch Deadlift","olympic weightlifting","barbell","hamstrings","intermediate","compound"
"Snatch Pull","strength","barbell","hamstrings","intermediate","compound"
"Snatch Shrug","olympic weightlifting","barbell","traps","intermediate","compound"
"Snatch from Blocks","olympic weightlifting","barbell","quadriceps","expert","compound"
"Speed Band Overhead Triceps","strength","bands","triceps","beginner","isolation"
"Speed Box Squat","powerlifting","barbell","quadriceps","intermediate","compound"
"Speed Squats","strength","barbell","quadriceps","expert","compound"
"Spell Caster","strength","dumbbell","abdominals","beginner","compound"
"Spider Crawl","strength","body only","abdominals","beginner","compound"
"Spider Curl","strength","e-z curl bar","biceps","beginner","isolation"
"Spinal Stretch","stretching","","middle back","beginner","isolation"
"Split Clean","olympic weightlifting","barbell","quadriceps","intermediate","compound"
"Split Jerk","olympic weightlifting","barbell","quadriceps","intermediate","compound"
"Split Jump","plyometrics","body only","quadriceps","beginner","compound"
"Split Snatch","olympic weightlifting","barbell","hamstrings","expert","compound"
"Split Squat with Dumbbells","strength","dumbbell","quadriceps","beginner","compound"
"Split Squats","stretching","","hamstrings","intermediate",""
"Squat Jerk","strength","barbell","quadriceps","expert","compound"
"Squat with Bands","powerlifting","barbell","quadriceps","intermediate","compound"
"Squat with Chains","powerlifting","barbell","quadriceps","intermediate","compound"
"Squat with Plate Movers","strength","barbell","quadriceps","intermediate","compound"
"Squats - With Bands","strength","bands","quadriceps","beginner","compound"
"Stairmaster","cardio","machine","quadriceps","intermediate",""
"Standing Alternating Dumbbell Press","strength","dumbbell","shoulders","beginner","compound"
"Standing Barbell Calf Raise","strength","barbell","calves","beginner","isolation"
"Standing Barbell Press Behind Neck","strength","barbell","shoulders","intermediate","compound"
"Standing Bent-Over One-Arm Dumbbell Triceps Extension","strength","dumbbell","triceps","beginner","isolation"
"Standing Bent-Over Two-Arm Dumbbell Triceps Extension","strength","dumbbell","triceps","beginner","isolation"
"Standing Biceps Cable Curl","strength","cable","biceps","beginner","isolation"
"Standing Biceps Stretch","stretching","other","biceps","beginner","isolation"
"Standing Bradford Press","strength","barbell","shoulders","beginner","compound"
"Standing Cable Chest Press","strength","cable","chest","beginner","compound"
"Standing Cable Lift","strength","cable","abdominals","beginner","compound"
"Standing Cable Wood Chop","strength","cable","abdominals","beginner","compound"
"Standing Calf Raises","strength","machine","calves","beginner","isolation"
"Standing Concentration Curl","strength","dumbbell","biceps","beginner","isolation"
"Standing Dumbbell Calf Raise","strength","dumbbell","calves","intermediate","isolation"
"Standing Dumbbell Press","strength","dumbbell","shoulders","beginner","compound"
"Standing Dumbbell Reverse Curl","strength","dumbbell","biceps","intermediate","isolation"
"Standing Dumbbell Straight-Arm Front Delt Raise Above Head","strength","dumbbell","shoulders","intermediate","isolation"
"Standing Dumbbell Triceps Extension","strength","dumbbell","triceps","beginner","isolation"
"Standing Dumbbell Upright Row","strength","dumbbell","traps","beginner","compound"
"Standing Elevated Quad Stretch","stretching","other","quadriceps","beginner",""
"Standing Front Barbell Raise Over Head","strength","barbell","shoulders","intermediate","isolation"
"Standing Gastrocnemius Calf Stretch","stretching","","calves","beginner",""
"Standing Hamstring and Calf Stretch","stretching","other","hamstrings","beginner",""
"Standing Hip Circles","stretching","body only","abductors","beginner","isolation"
"Standing Hip Flexors","stretching","","quadriceps","beginner","isolation"
"Standing Inner-Biceps Curl","strength","dumbbell","biceps","intermediate","isolation"
"Standing Lateral Stretch","stretching","","abdominals","beginner",""
"Standing Leg Curl","strength","machine","hamstrings","beginner","isolation"
"Standing Long Jump","plyometrics","body only","quadriceps","beginner","compound"
"Standing Low-Pulley Deltoid Raise","strength","cable","shoulders","beginner","isolation"
"Standing Low-Pulley One-Arm Triceps Extension","strength","cable","triceps","intermediate","isolation"
"Standing Military Press","strength","barbell","shoulders","beginner","compound"
"Standing Olympic Plate Hand Squeeze","strength","other","forearms","beginner","isolation"
"Standing One-Arm Cable Curl","strength","cable","biceps","intermediate","isolation"
"Standing One-Arm Dumbbell Curl Over Incline Bench","strength","dumbbell","biceps","beginner","isolation"
"Standing One-Arm Dumbbell Triceps Extension","strength","dumbbell","triceps","beginner","isolation"
"Standing Overhead Barbell Triceps Extension","strength","barbell","triceps","beginner","isolation"
"Standing Palm-In One-Arm Dumbbell Press","strength","dumbbell","shoulders","beginner","compound"
"Standing Palms-In Dumbbell Press","strength","dumbbell","shoulders","intermediate","compound"
"Standing Palms-Up Barbell Behind The Back Wrist Curl","strength","barbell","forearms","beginner","isolation"
"Standing Pelvic Tilt","stretching","","lower back","beginner","isolation"
"Standing Rope Crunch","strength","cable","abdominals","beginner","isolation"
"Standing Soleus And Achilles Stretch","stretching","","calves","beginner","isolation"
"Standing Toe Touches","stretching","","hamstrings","beginner",""
"Standing Towel Triceps Extension","strength","body only","triceps","beginner","isolation"
"Standing Two-Arm Overhead Throw","plyometrics","medicine ball","shoulders","beginner","compound"
"Star Jump","plyometrics","body only","quadriceps","beginner","compound"
"Step-up with Knee Raise","strength","body only","glutes","beginner","compound"
"Step Mill","cardio","machine","quadriceps","intermediate",""
"Stiff-Legged Barbell Deadlift","strength","barbell","hamstrings","intermediate","compound"
"Stiff-Legged Dumbbell Deadlift","strength","dumbbell","hamstrings","beginner","compound"
"Stiff Leg Barbell Good Morning","strength","barbell","lower back","beginner","compound"
"Stomach Vacuum","stretching","body only","abdominals","beginner","isolation"
"Straight-Arm Dumbbell Pullover","strength","dumbbell","chest","intermediate","compound"
"Straight-Arm Pulldown","strength","cable","lats","beginner","isolation"
"Straight Bar Bench Mid Rows","strength","barbell","middle back","beginner","compound"
"Straight Raises on Incline Bench","strength","barbell","shoulders","beginner","isolation"
"Stride Jump Crossover","plyometrics","other","quadriceps","beginner","compound"
"Sumo Deadlift","powerlifting","barbell","hamstrings","intermediate","compound"
"Sumo Deadlift with Bands","powerlifting","barbell","hamstrings","intermediate","compound"
"Sumo Deadlift with Chains","powerlifting","barbell","hamstrings","intermediate","compound"
"Superman","stretching","body only","lower back","beginner","compound"
"Supine Chest Throw","plyometrics","medicine ball","triceps","beginner","compound"
"Supine One-Arm Overhead Throw","plyometrics","medicine ball","abdominals","beginner","compound"
"Supine Two-Arm Overhead Throw","plyometrics","medicine ball","abdominals","beginner","compound"
"Suspended Fallout","strength","other","abdominals","intermediate","isolation"
"Suspended Push-Up","strength","other","chest","beginner","compound"
"Suspended Reverse Crunch","strength","other","abdominals","beginner","isolation"
"Suspended Row","strength","other","middle back","beginner","compound"
"Suspended Split Squat","strength","other","quadriceps","intermediate","compound"
"Svend Press","strength","other","chest","beginner","compound"
"T-Bar Row with Handle","strength","barbell","middle back","beginner","compound"
"Tate Press","strength","dumbbell","triceps","intermediate","isolation"
"The Straddle","stretching","","hamstrings","beginner",""
"Thigh Abductor","strength","machine","abductors","beginner","isolation"
"Thigh Adductor","strength","machine","adductors","beginner","isolation"
"Tire Flip","strongman","other","quadriceps","intermediate","compound"
"Toe Touchers","stretching","body only","abdominals","beginner","isolation"
"Torso Rotation","stretching","exercise ball","abdominals","beginner",""
"Trail Running/Walking","cardio","","quadriceps","beginner",""
"Trap Bar Deadlift","strength","other","quadriceps","beginner","compound"
"Tricep Dumbbell Kickback","strength","dumbbell","triceps","beginner","isolation"
"Tricep Side Stretch","stretching","","triceps","beginner",""
"Triceps Overhead Extension with Rope","strength","cable","triceps","beginner","isolation"
"Triceps Pushdown","strength","cable","triceps","beginner","isolation"
"Triceps Pushdown - Rope Attachment","strength","cable","triceps","beginner","isolation"
"Triceps Pushdown - V-Bar Attachment","strength","cable","triceps","beginner","isolation"
